open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1639699200000,0.00000170,0.00000176,0.00000170,0.00000175,4742566.00000000,1639785599999,8.21260081,1404,1914037.00000000,3.31905730,0
1639785600000,0.00000176,0.00000186,0.00000176,0.00000181,16284787.00000000,1639871999999,29.74790767,3341,4841922.00000000,8.83450080,0
1639872000000,0.00000182,0.00000206,0.00000181,0.00000186,9228408.00000000,1639958399999,17.69693012,4322,5219606.00000000,10.05408813,0
1639958400000,0.00000187,0.00000197,0.00000180,0.00000183,11811244.00000000,1640044799999,22.35471691,3454,6231807.00000000,11.86877102,0
1640044800000,0.00000184,0.00000191,0.00000177,0.00000180,7480710.00000000,1640131199999,13.65602714,1994,3461490.00000000,6.34515021,0
1640131200000,0.00000180,0.00000185,0.00000179,0.00000183,3042869.00000000,1640217599999,5.52649040,959,1498440.00000000,2.72985299,0
1640217600000,0.00000184,0.00000191,0.00000180,0.00000185,3903866.00000000,1640303999999,7.20138082,1326,2213046.00000000,4.10030678,0
1640304000000,0.00000186,0.00000189,0.00000179,0.00000182,6374462.00000000,1640390399999,11.75870871,1580,2184518.00000000,4.04588029,0
1640390400000,0.00000182,0.00000185,0.00000180,0.00000185,1326079.00000000,1640476799999,2.41037598,500,657813.00000000,1.19906501,0
1640476800000,0.00000185,0.00000185,0.00000181,0.00000183,1982857.00000000,1640563199999,3.63661998,800,864421.00000000,1.58957261,0
1640563200000,0.00000183,0.00000184,0.00000180,0.00000183,4073120.00000000,1640649599999,7.41001419,1049,1410010.00000000,2.57371568,0
1640649600000,0.00000184,0.00000208,0.00000182,0.00000188,16598949.00000000,1640735999999,32.09647530,5442,8987877.00000000,17.42151010,0
1640736000000,0.00000187,0.00000195,0.00000181,0.00000184,5540769.00000000,1640822399999,10.40951290,1975,2515532.00000000,4.75766827,0
1640822400000,0.00000184,0.00000185,0.00000180,0.00000183,2679414.00000000,1640908799999,4.88862362,805,1201475.00000000,2.19894523,0
1640908800000,0.00000184,0.00000189,0.00000181,0.00000184,2915761.00000000,1640995199999,5.38684990,1088,1627632.00000000,3.01965509,0
1640995200000,0.00000184,0.00000185,0.00000181,0.00000183,1201319.00000000,1641081599999,2.19766247,814,442538.00000000,0.81187163,0
1641081600000,0.00000183,0.00000200,0.00000183,0.00000200,5269213.00000000,1641167999999,10.12110353,2573,3455764.00000000,6.65069325,0
1641168000000,0.00000200,0.00000204,0.00000193,0.00000196,4986600.00000000,1641254399999,9.86319082,2457,2688510.00000000,5.33637877,0
1641254400000,0.00000197,0.00000198,0.00000190,0.00000194,1607602.00000000,1641340799999,3.10093717,927,639189.00000000,1.23503669,0
1641340800000,0.00000195,0.00000198,0.00000187,0.00000190,4395584.00000000,1641427199999,8.49230006,1998,2077976.00000000,4.02822340,0
1641427200000,0.00000190,0.00000190,0.00000182,0.00000189,3840585.00000000,1641513599999,7.16627883,1692,2132658.00000000,3.98849884,0
1641513600000,0.00000187,0.00000189,0.00000181,0.00000185,3524234.00000000,1641599999999,6.48567408,1467,1810773.00000000,3.34043863,0
1641600000000,0.00000187,0.00000187,0.00000175,0.00000177,3289039.00000000,1641686399999,5.95268018,1236,1223092.00000000,2.22014166,0
1641686400000,0.00000177,0.00000183,0.00000176,0.00000181,1489599.00000000,1641772799999,2.67940170,775,841214.00000000,1.51838498,0
1641772800000,0.00000180,0.00000188,0.00000170,0.00000171,7983255.00000000,1641859199999,14.18640895,2377,3936762.00000000,7.03933038,0
1641859200000,0.00000173,0.00000194,0.00000169,0.00000177,17261539.00000000,1641945599999,31.01282461,6120,9507001.00000000,17.23650312,0
1641945600000,0.00000178,0.00000185,0.00000174,0.00000180,6409310.00000000,1642031999999,11.41955872,1724,3365408.00000000,6.01246700,0
1642032000000,0.00000180,0.00000182,0.00000177,0.00000179,2007424.00000000,1642118399999,3.59607227,789,1256268.00000000,2.25527012,0
1642118400000,0.00000179,0.00000183,0.00000176,0.00000180,5175940.00000000,1642204799999,9.27269723,1411,2461000.00000000,4.40378212,0
1642204800000,0.00000179,0.00000183,0.00000178,0.00000183,1131485.00000000,1642291199999,2.03991816,489,747713.00000000,1.35137988,0
1642291200000,0.00000183,0.00000192,0.00000179,0.00000182,4122763.00000000,1642377599999,7.61783216,1481,2442524.00000000,4.52484949,0
1642377600000,0.00000183,0.00000185,0.00000177,0.00000183,2348657.00000000,1642463999999,4.22439825,1088,1146689.00000000,2.06959946,0
1642464000000,0.00000183,0.00000188,0.00000176,0.00000179,4539335.00000000,1642550399999,8.17263784,1655,2103843.00000000,3.79683714,0
1642550400000,0.00000178,0.00000179,0.00000171,0.00000175,1867091.00000000,1642636799999,3.24768788,813,772454.00000000,1.34498373,0
1642636800000,0.00000173,0.00000176,0.00000171,0.00000172,3138603.00000000,1642723199999,5.45031266,1266,1584263.00000000,2.75677256,0
1642723200000,0.00000172,0.00000173,0.00000161,0.00000163,5374546.00000000,1642809599999,9.02619609,2070,2025081.00000000,3.42090229,0
1642809600000,0.00000164,0.00000174,0.00000146,0.00000156,6704830.00000000,1642895999999,10.71577557,3212,3527322.00000000,5.68638260,0
1642896000000,0.00000157,0.00000163,0.00000155,0.00000159,6641201.00000000,1642982399999,10.55329627,1943,3336331.00000000,5.32004596,0
1642982400000,0.00000158,0.00000163,0.00000146,0.00000149,3744824.00000000,1643068799999,5.71476417,1711,2030117.00000000,3.08779041,0
1643068800000,0.00000150,0.00000152,0.00000147,0.00000150,1837395.00000000,1643155199999,2.73088643,857,1060749.00000000,1.58137636,0
1643155200000,0.00000150,0.00000180,0.00000147,0.00000159,26214900.00000000,1643241599999,42.59148670,9362,14216437.00000000,23.27629773,0
1643241600000,0.00000160,0.00000171,0.00000160,0.00000163,5859650.00000000,1643327999999,9.69090760,2575,2987515.00000000,4.96349835,0
1643328000000,0.00000164,0.00000168,0.00000160,0.00000164,2527405.00000000,1643414399999,4.11582254,1105,1380857.00000000,2.25394768,0
1643414400000,0.00000164,0.00000169,0.00000162,0.00000164,2545900.00000000,1643500799999,4.20209461,1032,1179250.00000000,1.95359589,0
1643500800000,0.00000165,0.00000174,0.00000162,0.00000168,3375019.00000000,1643587199999,5.66590537,1336,2025295.00000000,3.41204568,0
1643587200000,0.00000168,0.00000176,0.00000164,0.00000170,10317552.00000000,1643673599999,17.33021374,2131,4689381.00000000,7.91699406,0
1643673600000,0.00000170,0.00000178,0.00000164,0.00000168,6734686.00000000,1643759999999,11.41975802,2657,3378981.00000000,5.77952739,0
1643760000000,0.00000170,0.00000186,0.00000166,0.00000178,26213116.00000000,1643846399999,46.43602892,7186,12473467.00000000,22.15579567,0
1643846400000,0.00000178,0.00000206,0.00000177,0.00000185,21002654.00000000,1643932799999,39.48952903,7223,10785280.00000000,20.38575862,0
1643932800000,0.00000185,0.00000205,0.00000178,0.00000179,20293854.00000000,1644019199999,38.57716274,5011,7059978.00000000,13.58193181,0
1644019200000,0.00000180,0.00000195,0.00000179,0.00000187,11219152.00000000,1644105599999,21.01879848,3949,5327874.00000000,9.99559575,0
1644105600000,0.00000188,0.00000190,0.00000180,0.00000183,14035251.00000000,1644191999999,26.11496110,2535,10334511.00000000,19.28579725,0
1644192000000,0.00000183,0.00000252,0.00000176,0.00000210,109189995.00000000,1644278399999,240.50869859,25422,56268483.00000000,123.48676588,0
