numberofiteration,timeforexact_eigensolver
488,0.014165000000000205
489,0.014646000000000825
490,0.01454700000000031
491,0.014429999999999055
492,0.014941000000000315
493,0.015264000000000166
494,0.014614999999999156
495,0.015427999999999997
496,0.01422499999999971
497,0.014630000000000365
498,0.014521000000000228
499,0.01469699999999996
500,0.01500500000000038
501,0.01469699999999996
502,0.014243999999999701
503,0.014209000000001026
504,0.014200000000000657
505,0.014400999999999442
506,0.015126999999999668
507,0.014770999999999646
508,0.014758000000000493
509,0.014554999999999652
510,0.014524999999999011
511,0.014204999999998691
512,0.014291000000000054
513,0.014445000000000263
514,0.014942999999998818
515,0.01553500000000163
516,0.015052999999999983
517,0.01515799999999956
518,0.014816000000001495
519,0.015499000000000152
520,0.014501000000000985
521,0.014742999999999284
522,0.01454299999999975
523,0.01456300000000077
524,0.013992000000000004
525,0.01449899999999893
526,0.014106999999999204
527,0.014027000000000456
528,0.013921000000001627
529,0.014165999999999457
530,0.014023999999999148
531,0.014111000000001539
532,0.014478000000000435
533,0.014254000000001099
534,0.013961000000000112
535,0.01454999999999984
536,0.014274999999999594
537,0.01422699999999999
538,0.014303999999999206
539,0.014740999999999005
540,0.014651999999999887
541,0.014412000000000091
542,0.014498000000001454
543,0.014936000000000504
544,0.014261999999998665
545,0.015111000000000985
546,0.015055000000000263
547,0.014910000000000423
548,0.014497000000000426
549,0.01520300000000141
550,0.014720999999999762
551,0.014807000000001125
552,0.014839000000000269
553,0.01468999999999987
554,0.014529999999998822
555,0.015079000000000065
556,0.015525000000000233
557,0.014615000000000933
558,0.014998000000000289
559,0.015157000000000309
560,0.014522999999998731
561,0.014566999999999553
562,0.015109000000000705
563,0.014751999999999654
564,0.01474000000000153
565,0.01504000000000083
566,0.014972000000000207
567,0.015368000000000492
568,0.014543999999999002
569,0.015061999999998577
570,0.014341999999999189
571,0.014638999999998958
572,0.014656999999999698
573,0.014776999999998708
574,0.014708999999999861
575,0.015093000000000245
576,0.015197000000000571
577,0.014742000000000033
578,0.014858999999999511
579,0.016657999999999618
580,0.016337000000000046
581,0.015207000000000193
582,0.015439999999999898
583,0.015336999999998824
584,0.01781800000000011
585,0.0193089999999998
586,0.01720000000000077
587,0.018327000000001092
588,0.019257999999998887
589,0.0183889999999991
590,0.017569999999999197
591,0.017793000000001058
